ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13708445,JJ100613,12/31/2024 12:00:00 AM,079XX S PAULINA ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,true,false,0611,006,17,71,05,1166393,1852001,2024,05/17/2025 03:40:52 PM,41.749460724,-87.665842269,POINT (-87.665842269 41.749460724)
13710692,JJ102550,12/31/2024 12:00:00 AM,056XX S DR MARTIN LUTHER KING JR DR,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,0231,002,20,40,05,1179885,1867762,2024,05/17/2025 03:40:52 PM,41.792412671,-87.615920606,POINT (-87.615920606 41.792412671)
13707354,JH561076,12/30/2024 11:00:00 PM,016XX W MONTEREY AVE,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,false,false,2234,022,21,75,05,1167385,1830155,2024,05/17/2025 03:40:52 PM,41.689490753,-87.662830636,POINT (-87.662830636 41.689490753)
13707025,JH560831,12/30/2024 11:00:00 PM,070XX S EUCLID AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,0332,003,5,43,05,1190430,1858583,2024,05/17/2025 03:40:52 PM,41.766976828,-87.577550041,POINT (-87.577550041 41.766976828)
13707304,JH561179,12/30/2024 10:00:00 PM,025XX N SEMINARY AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,1932,019,43,7,05,1168527,1917224,2024,05/17/2025 03:40:52 PM,41.928393075,-87.656138046,POINT (-87.656138046 41.928393075)
13707414,JH561003,12/30/2024 09:30:00 PM,023XX S WENTWORTH AVE,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,false,false,0914,009,11,34,05,1175345,1888637,2024,05/17/2025 03:40:52 PM,41.84979827,-87.631943164,POINT (-87.631943164 41.84979827)
13707804,JH560783,12/30/2024 09:00:00 PM,016XX N LOTUS AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,true,2532,025,37,25,05,1139822,1910282,2024,05/17/2025 03:40:52 PM,41.909917129,-87.761789862,POINT (-87.761789862 41.909917129)
13706777,JH560516,12/30/2024 05:13:00 PM,015XX W ROSEMONT AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,2433,024,48,77,05,1164945,1941982,2024,05/17/2025 03:40:52 PM,41.996406931,-87.668594807,POINT (-87.668594807 41.996406931)
13708604,JJ100872,12/30/2024 05:00:00 PM,040XX W 21ST PL,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,1012,010,24,29,05,1149790,1889453,2024,05/17/2025 03:40:52 PM,41.852571947,-87.725712905,POINT (-87.725712905 41.852571947)
13707297,JH561101,12/30/2024 04:00:00 PM,009XX W MONTROSE AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,VEHICLE NON-COMMERCIAL,false,false,1914,019,46,3,06,1169262,1929404,2024,05/17/2025 03:40:52 PM,41.961799533,-87.653081993,POINT (-87.653081993 41.961799533)
13706770,JH560265,12/30/2024 02:29:00 PM,058XX W HIGGINS AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,1622,016,45,11,05,1136048,1933005,2024,05/17/2025 03:40:52 PM,41.972339624,-87.775110617,POINT (-87.775110617 41.972339624)
13710376,JJ102888,12/30/2024 01:00:00 PM,0000X N HAMLIN BLVD,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,1122,011,28,26,05,1151064,1899854,2024,05/17/2025 03:40:52 PM,41.881088655,-87.720764494,POINT (-87.720764494 41.881088655)
13709388,JJ101647,12/30/2024 01:00:00 PM,075XX S WABASH AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0623,006,6,69,05,1178024,1854980,2024,05/17/2025 03:40:52 PM,41.757379936,-87.623131628,POINT (-87.623131628 41.757379936)
13706601,JH560068,12/30/2024 12:00:00 PM,043XX S DREXEL BLVD,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,0222,002,4,39,05,1183052,1876405,2024,05/17/2025 03:40:52 PM,41.816056641,-87.604038892,POINT (-87.604038892 41.816056641)
13709354,JJ101603,12/30/2024 10:00:00 AM,083XX S JEFFERY BLVD,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,false,false,0414,004,8,45,06,1190964,1850383,2024,05/17/2025 03:40:52 PM,41.744462438,-87.575857383,POINT (-87.575857383 41.744462438)
13706309,JH559888,12/30/2024 08:30:00 AM,056XX S KEDZIE AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,0822,008,14,63,06,1156008,1867149,2024,05/17/2025 03:40:52 PM,41.791243922,-87.703490919,POINT (-87.703490919 41.791243922)
13706402,JH559777,12/30/2024 03:00:00 AM,056XX N LINCOLN AVE,0610,BURGLARY,FORCIBLE ENTRY,CAR WASH,false,false,2011,020,40,2,05,1157717,1937133,2024,05/17/2025 03:40:52 PM,41.983251958,-87.695316345,POINT (-87.695316345 41.983251958)
13708602,JH559653,12/30/2024 02:24:00 AM,067XX S LAWNDALE AVE,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,false,false,0833,008,23,65,05,1152872,1859460,2024,05/17/2025 03:40:52 PM,41.770206597,-87.715192761,POINT (-87.715192761 41.770206597)
13706145,JH559643,12/30/2024 02:00:00 AM,036XX W 68TH PL,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,true,false,0833,008,23,65,05,1153346,1858944,2024,05/17/2025 03:40:52 PM,41.76878125,-87.713468884,POINT (-87.713468884 41.76878125)
13706367,JH559982,12/30/2024 01:30:00 AM,047XX N TRIPP AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,false,false,1722,017,39,14,05,1147190,1931282,2024,05/17/2025 03:40:52 PM,41.967405054,-87.734183371,POINT (-87.734183371 41.967405054)
13718253,JJ111470,12/30/2024 12:01:00 AM,041XX S ARCHER AVE,0610,BURGLARY,FORCIBLE ENTRY,ABANDONED BUILDING,false,false,0921,009,12,58,05,1157143,1876639,2024,05/17/2025 03:40:52 PM,41.817262858,-87.699072292,POINT (-87.699072292 41.817262858)
13706643,JH560392,12/30/2024 12:00:00 AM,004XX W WEBSTER AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,1812,018,43,7,06,1173150,1914916,2024,05/17/2025 03:40:52 PM,41.921958376,-87.639218933,POINT (-87.639218933 41.921958376)
13706358,JH560040,12/29/2024 11:00:00 PM,028XX W VAN BUREN ST,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,false,false,1124,011,27,27,06,1157308,1898031,2024,05/17/2025 03:40:52 PM,41.875961578,-87.697886382,POINT (-87.697886382 41.875961578)
13706133,JH559716,12/29/2024 09:00:00 PM,006XX N SPAULDING AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,false,false,1121,011,27,23,06,1154264,1904020,2024,05/17/2025 03:40:52 PM,41.892457295,-87.708902913,POINT (-87.708902913 41.892457295)
13706312,JH559757,12/29/2024 08:00:00 PM,013XX W TAYLOR ST,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,1231,012,28,28,06,1167456,1895700,2024,05/17/2025 03:40:52 PM,41.869352917,-87.660693695,POINT (-87.660693695 41.869352917)
13705983,JH559512,12/29/2024 07:50:00 PM,002XX W 105TH PL,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0512,005,21,49,05,1176475,1834980,2024,05/17/2025 03:40:52 PM,41.702532285,-87.629407887,POINT (-87.629407887 41.702532285)
13709025,JH561300,12/29/2024 05:00:00 PM,008XX N LATROBE AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,false,false,1524,015,37,25,06,1141204,1905040,2024,05/17/2025 03:40:52 PM,41.895507092,-87.7568423,POINT (-87.7568423 41.895507092)
