USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
IL	17019000901	2742358	0	1.059	0.	40.1297772	-88.2682959                                                                                                                                                
IL	17019000902	19624037	139	7.577	0.	40.1349949	-88.3242104                                                                                                                                             
IL	17019001000	2487936	38363	0.961	0.015	40.1168919	-88.2713796                                                                                                                                         
IL	17019001100	2600941	0	1.004	0.	40.1054765	-88.2671805                                                                                                                                                
IL	17019001201	3876315	0	1.497	0.	40.1056939	-88.2906752                                                                                                                                                
IL	17019001203	2531544	56136	0.977	0.022	40.0907816	-88.2856628                                                                                                                                         
IL	17019001204	7606986	0	2.937	0.	40.0693539	-88.2899562                                                                                                                                                
IL	17019001205	23891916	230308	9.225	0.089	40.0823717	-88.3304918                                                                                                                                       
IL	17019001206	2457102	157363	0.949	0.061	40.0925371	-88.3047415                                                                                                                                        
IL	17019001301	4237093	56477	1.636	0.022	40.0906765	-88.260586                                                                                                                                          
IL	17019001302	7482617	72484	2.889	0.028	40.0724737	-88.2660132                                                                                                                                         
IL	17019001400	5570712	47310	2.151	0.018	40.0758606	-88.2428052                                                                                                                                         
IL	17019005300	4741384	55354	1.831	0.021	40.1310506	-88.2247504                                                                                                                                         
IL	17019005401	4644955	38511	1.793	0.015	40.1259128	-88.1956715                                                                                                                                         
IL	17019005402	15174396	79485	5.859	0.031	40.1314991	-88.1567703                                                                                                                                        
IL	17019005500	10090328	0	3.896	0.	40.1125165	-88.1622587                                                                                                                                               
IL	17019005601	2914019	0	1.125	0.	40.1020899	-88.1837504                                                                                                                                                
IL	17019005602	18915110	74849	7.303	0.029	40.0882065	-88.1521971                                                                                                                                        
IL	17019005701	2610806	0	1.008	0.	40.0910552	-88.2000743                                                                                                                                                
IL	17019005702	16319611	19388	6.301	0.007	40.0620286	-88.1760312                                                                                                                                        
IL	17019005800	1448746	1529	0.559	0.001	40.1051036	-88.2132604                                                                                                                                          
IL	17019005901	349289	0	0.135	0.	40.1036804	-88.2200361                                                                                                                                                 
IL	17019005902	962402	4892	0.372	0.002	40.1087344	-88.2247204                                                                                                                                           
IL	17019006000	11331173	8405	4.375	0.003	40.0793238	-88.221384                                                                                                                                          
IL	17019010100	15206908	6463	5.871	0.002	40.3337454	-88.1424525                                                                                                                                         
IL	17019010204	10651395	35468	4.113	0.014	40.3022684	-88.1685801                                                                                                                                        
IL	17019010300	8366519	189145	3.23	0.073	40.2937263	-88.1435584                                                                                                                                         
IL	17019010400	465468738	534951	179.718	0.207	40.3109937	-88.073346                                                                                                                                     
IL	17019010500	375283528	1269717	144.898	0.49	40.3113361	-88.3449086                                                                                                                                    
IL	17019010601	33296627	469058	12.856	0.181	40.2006003	-88.4301854                                                                                                                                      
IL	17019010603	50584150	306074	19.531	0.118	40.1801762	-88.3765938                                                                                                                                      
IL	17019010604	258003770	86893	99.616	0.034	40.1505783	-88.3056169                                                                                                                                      
IL	17019010701	5266000	30553	2.033	0.012	40.1150269	-88.0329549                                                                                                                                         
IL	17019010702	276092767	582889	106.6	0.225	40.1461844	-88.0393249                                                                                                                                      
IL	17019010800	414428061	1241746	160.012	0.479	39.9597632	-88.061672                                                                                                                                    
IL	17019010901	140473896	118829	54.237	0.046	39.9889767	-88.2028522                                                                                                                                     
IL	17019010902	329591263	290399	127.256	0.112	39.9756592	-88.3626202                                                                                                                                    
IL	17019011001	815139	0	0.315	0.	40.1196851	-88.2513464                                                                                                                                                 
IL	17019011002	1084277	0	0.419	0.	40.115493	-88.2463528                                                                                                                                                 
IL	17019011100	1071559	6653	0.414	0.003	40.114106	-88.213607                                                                                                                                            
IL	17021958100	372644442	97973	143.879	0.038	39.7186016	-89.2825938                                                                                                                                     
IL	17021958200	230510302	9729338	89.001	3.757	39.5867615	-89.434727                                                                                                                                     
IL	17021958300	13163532	13820	5.082	0.005	39.5623432	-89.3004623                                                                                                                                        
IL	17021958400	3578778	0	1.382	0.	39.5462948	-89.3095193                                                                                                                                                
IL	17021958500	4793117	0	1.851	0.	39.5482152	-89.279038                                                                                                                                                 
IL	17021958600	341802098	45461	131.971	0.018	39.6051457	-89.1502788                                                                                                                                     
IL	17021958700	369694707	2318724	142.74	0.895	39.4439023	-89.1440635                                                                                                                                    
IL	17021958800	3304941	0	1.276	0.	39.3832404	-89.0744887                                                                                                                                                
IL	17021958900	7069019	0	2.729	0.	39.3941123	-89.084598                                                                                                                                                 
IL	17021959000	490991958	4022030	189.573	1.553	39.4403993	-89.3885529                                                                                                                                   
IL	17023060100	738699581	7518966	285.214	2.903	39.3399603	-87.6985863                                                                                                                                   
IL	17023060200	28003843	99866	10.812	0.039	39.4010047	-87.688783                                                                                                                                        
IL	17023060300	146246105	689815	56.466	0.266	39.3133238	-87.920149                                                                                                                                      
IL	17023060400	385645286	422792	148.898	0.163	39.4128798	-87.9491694                                                                                                                                    
IL	17025971900	458267992	442140	176.938	0.171	38.8520249	-88.476499                                                                                                                                     
IL	17025972000	436814489	2245574	168.655	0.867	38.7405087	-88.5044465                                                                                                                                   
IL	17025972100	36663583	85846	14.156	0.033	38.6708051	-88.4754563                                                                                                                                       
IL	17025972200	281276977	290939	108.602	0.112	38.6404354	-88.4901721                                                                                                                                    
IL	17027900100	79074990	89046	30.531	0.034	38.6178193	-89.6559143                                                                                                                                       
IL	17027900200	185665344	30672	71.686	0.012	38.7043984	-89.487864                                                                                                                                       
IL	17027900300	145395845	65769	56.138	0.025	38.6171002	-89.5009367                                                                                                                                      
IL	17027900401	208466581	665974	80.489	0.257	38.6463037	-89.2016316                                                                                                                                     
IL	17027900403	73244436	428579	28.28	0.165	38.5840248	-89.3608157                                                                                                                                       
IL	17027900404	86945168	72091048	33.57	27.835	38.6923212	-89.311544                                                                                                                                     
IL	17027900500	181091571	593867	69.92	0.229	38.5210411	-89.3218447                                                                                                                                      
IL	17027900601	79889475	110628	30.846	0.043	38.5320161	-89.5153987                                                                                                                                      
IL	17027900602	187728748	1558679	72.482	0.602	38.5198422	-89.6206718                                                                                                                                    
IL	17029000100	440673530	457945	170.145	0.177	39.5875265	-88.168814                                                                                                                                     
IL	17029000200	391714370	1633905	151.242	0.631	39.5842125	-88.4195523                                                                                                                                   
IL	17029000300	12425349	0	4.797	0.	39.4967914	-88.3903902                                                                                                                                               
IL	17029000400	31432659	69412	12.136	0.027	39.4990127	-88.3151454                                                                                                                                       
IL	17029000500	25367131	27015	9.794	0.01	39.5053562	-88.1999832                                                                                                                                         
IL	17029000600	365244343	692945	141.022	0.268	39.4700783	-88.0931783                                                                                                                                    
