P1_001N,GEO_ID,state,county,tract,block group
1641,1500000US170310317003,17,031,031700,3
1253,1500000US170310317004,17,031,031700,4
1910,1500000US170310318001,17,031,031800,1
1305,1500000US170310319001,17,031,031900,1
1217,1500000US170310319002,17,031,031900,2
1863,1500000US170310321001,17,031,032100,1
1846,1500000US170310321003,17,031,032100,3
1250,1500000US170310321002,17,031,032100,2
1479,1500000US170310321004,17,031,032100,4
1105,1500000US170310321005,17,031,032100,5
1350,1500000US170310401001,17,031,040100,1
1484,1500000US170310401002,17,031,040100,2
1071,1500000US170310401003,17,031,040100,3
1384,1500000US170310402011,17,031,040201,1
1714,1500000US170310402014,17,031,040201,4
1812,1500000US170310402012,17,031,040201,2
1498,1500000US170310402013,17,031,040201,3
1382,1500000US170310402023,17,031,040202,3
883,1500000US170310402021,17,031,040202,1
2786,1500000US170310402022,17,031,040202,2
2267,1500000US170310402024,17,031,040202,4
1141,1500000US170310403002,17,031,040300,2
1018,1500000US170310403001,17,031,040300,1
769,1500000US170310403003,17,031,040300,3
810,1500000US170310404011,17,031,040401,1
991,1500000US170310404014,17,031,040401,4
725,1500000US170310404012,17,031,040401,2
603,1500000US170310404013,17,031,040401,3
1284,1500000US170310404023,17,031,040402,3
724,1500000US170310404021,17,031,040402,1
612,1500000US170310404022,17,031,040402,2
619,1500000US170310404024,17,031,040402,4
1507,1500000US170310404025,17,031,040402,5
613,1500000US170310406001,17,031,040600,1
1019,1500000US170310406002,17,031,040600,2
898,1500000US170310406003,17,031,040600,3
836,1500000US170310407001,17,031,040700,1
964,1500000US170310407003,17,031,040700,3
846,1500000US170310407002,17,031,040700,2
780,1500000US170310407004,17,031,040700,4
799,1500000US170310408002,17,031,040800,2
837,1500000US170310408001,17,031,040800,1
1334,1500000US170310409001,17,031,040900,1
729,1500000US170310409002,17,031,040900,2
842,1500000US170310501001,17,031,050100,1
1726,1500000US170310501002,17,031,050100,2
2275,1500000US170310502002,17,031,050200,2
1131,1500000US170310502001,17,031,050200,1
1903,1500000US170310502003,17,031,050200,3
831,1500000US170310503002,17,031,050300,2
1014,1500000US170310503001,17,031,050300,1
826,1500000US170310503003,17,031,050300,3
1041,1500000US170310505001,17,031,050500,1
1502,1500000US170310505002,17,031,050500,2
816,1500000US170310505003,17,031,050500,3
983,1500000US170310505004,17,031,050500,4
775,1500000US170310505005,17,031,050500,5
1285,1500000US170310506001,17,031,050600,1
1158,1500000US170310506002,17,031,050600,2
1513,1500000US170310507001,17,031,050700,1
1406,1500000US170310508001,17,031,050800,1
1426,1500000US170310509001,17,031,050900,1
1538,1500000US170310510001,17,031,051000,1
1599,1500000US170310511001,17,031,051100,1
718,1500000US170310512001,17,031,051200,1
863,1500000US170310512002,17,031,051200,2
1578,1500000US170310513002,17,031,051300,2
1329,1500000US170310513001,17,031,051300,1
1266,1500000US170310514001,17,031,051400,1
1226,1500000US170310514002,17,031,051400,2
803,1500000US170310601001,17,031,060100,1
1303,1500000US170310601002,17,031,060100,2
724,1500000US170310601003,17,031,060100,3
1180,1500000US170310602001,17,031,060200,1
1133,1500000US170310602002,17,031,060200,2
1436,1500000US170310603002,17,031,060300,2
1640,1500000US170310603001,17,031,060300,1
1088,1500000US170310604003,17,031,060400,3
1652,1500000US170310604001,17,031,060400,1
969,1500000US170310604002,17,031,060400,2
1374,1500000US170310605001,17,031,060500,1
1651,1500000US170310608001,17,031,060800,1
2042,1500000US170310608004,17,031,060800,4
0,1500000US170310608002,17,031,060800,2
1602,1500000US170310608003,17,031,060800,3
1299,1500000US170310609003,17,031,060900,3
2080,1500000US170310609006,17,031,060900,6
1188,1500000US170310609001,17,031,060900,1
30,1500000US170310609002,17,031,060900,2
796,1500000US170310609004,17,031,060900,4
1711,1500000US170310609005,17,031,060900,5
2279,1500000US170310610001,17,031,061000,1
1367,1500000US170310611001,17,031,061100,1
1932,1500000US170310612001,17,031,061200,1
1797,1500000US170310615001,17,031,061500,1
1051,1500000US170310618001,17,031,061800,1
866,1500000US170310619013,17,031,061901,3
788,1500000US170310619011,17,031,061901,1
886,1500000US170310619012,17,031,061901,2
1085,1500000US170310619014,17,031,061901,4
1836,1500000US170310619022,17,031,061902,2
1233,1500000US170310619021,17,031,061902,1
1596,1500000US170310619023,17,031,061902,3
0,1500000US170310619024,17,031,061902,4
1931,1500000US170310620001,17,031,062000,1
912,1500000US170310620002,17,031,062000,2
1164,1500000US170310621002,17,031,062100,2
873,1500000US170310621001,17,031,062100,1
1780,1500000US170310621003,17,031,062100,3
1696,1500000US170310622001,17,031,062200,1
1548,1500000US170310622002,17,031,062200,2
1667,1500000US170310623001,17,031,062300,1
1673,1500000US170310624001,17,031,062400,1
1675,1500000US170310625001,17,031,062500,1
2477,1500000US170310626001,17,031,062600,1
909,1500000US170310627001,17,031,062700,1
876,1500000US170310627002,17,031,062700,2
1170,1500000US170310627003,17,031,062700,3
1178,1500000US170310628001,17,031,062800,1
1218,1500000US170310628002,17,031,062800,2
1455,1500000US170310628003,17,031,062800,3
1313,1500000US170310629001,17,031,062900,1
1261,1500000US170310629002,17,031,062900,2
1551,1500000US170310629003,17,031,062900,3
1340,1500000US170310630001,17,031,063000,1
1349,1500000US170310630002,17,031,063000,2
728,1500000US170310630003,17,031,063000,3
1320,1500000US170310631001,17,031,063100,1
1056,1500000US170310631002,17,031,063100,2
1161,1500000US170310632001,17,031,063200,1
1515,1500000US170310632004,17,031,063200,4
639,1500000US170310632002,17,031,063200,2
1125,1500000US170310632003,17,031,063200,3
853,1500000US170310632005,17,031,063200,5
1607,1500000US170310632006,17,031,063200,6
1048,1500000US170310633011,17,031,063301,1
920,1500000US170310633013,17,031,063301,3
865,1500000US170310633012,17,031,063301,2
822,1500000US170310633023,17,031,063302,3
1656,1500000US170310633021,17,031,063302,1
927,1500000US170310633022,17,031,063302,2
1172,1500000US170310633024,17,031,063302,4
820,1500000US170310633032,17,031,063303,2
454,1500000US170310633031,17,031,063303,1
1340,1500000US170310634001,17,031,063400,1
1077,1500000US170310634002,17,031,063400,2
1218,1500000US170310701011,17,031,070101,1
1256,1500000US170310701012,17,031,070101,2
1697,1500000US170310701013,17,031,070101,3
1565,1500000US170310701021,17,031,070102,1
673,1500000US170310701022,17,031,070102,2
825,1500000US170310701023,17,031,070102,3
886,1500000US170310701031,17,031,070103,1
959,1500000US170310701032,17,031,070103,2
1957,1500000US170310702001,17,031,070200,1
1202,1500000US170310702002,17,031,070200,2
1041,1500000US170310702003,17,031,070200,3
2376,1500000US170310703001,17,031,070300,1
1973,1500000US170310703002,17,031,070300,2
944,1500000US170310704002,17,031,070400,2
1253,1500000US170310704001,17,031,070400,1
1053,1500000US170310704003,17,031,070400,3
1080,1500000US170310705002,17,031,070500,2
1089,1500000US170310705001,17,031,070500,1
1153,1500000US170310705003,17,031,070500,3
1530,1500000US170310706002,17,031,070600,2
1919,1500000US170310706001,17,031,070600,1
1176,1500000US170310707002,17,031,070700,2
2523,1500000US170310707001,17,031,070700,1
2370,1500000US170310710001,17,031,071000,1
1987,1500000US170310710002,17,031,071000,2
1693,1500000US170310711001,17,031,071100,1
1398,1500000US170310711002,17,031,071100,2
1158,1500000US170310712002,17,031,071200,2
1815,1500000US170310712001,17,031,071200,1
1847,1500000US170310713001,17,031,071300,1
2046,1500000US170310713002,17,031,071300,2
871,1500000US170310714001,17,031,071400,1
1859,1500000US170310714002,17,031,071400,2
